Id,Weekly_Sales,,,
1_1_2012-11-02,0,1_1_,1_1_2012-11-02,
1_1_2012-11-09,0,1_1_,1_1_2012-11-09,
1_1_2012-11-16,0,1_1_,1_1_2012-11-16,
1_1_2012-11-23,0,1_1_,1_1_2012-11-23,
1_1_2012-11-30,0,1_1_,1_1_2012-11-30,
1_1_2012-12-07,0,1_1_,1_1_2012-12-07,
1_1_2012-12-14,0,1_1_,1_1_2012-12-14,
1_1_2012-12-21,0,1_1_,1_1_2012-12-21,
1_1_2012-12-28,0,1_1_,1_1_2012-12-28,
1_1_2013-01-04,0,1_1_,1_1_2013-01-04,
1_1_2013-01-11,0,1_1_,1_1_2013-01-11,
1_1_2013-01-18,0,1_1_,1_1_2013-01-18,
1_1_2013-01-25,0,1_1_,1_1_2013-01-25,
1_1_2013-02-01,0,1_1_,1_1_2013-02-01,
1_1_2013-02-08,0,1_1_,1_1_2013-02-08,
1_1_2013-02-15,0,1_1_,1_1_2013-02-15,
1_1_2013-02-22,0,1_1_,1_1_2013-02-22,
1_1_2013-03-01,0,1_1_,1_1_2013-03-01,
1_1_2013-03-08,0,1_1_,1_1_2013-03-08,
1_1_2013-03-15,0,1_1_,1_1_2013-03-15,
1_1_2013-03-22,0,1_1_,1_1_2013-03-22,
1_1_2013-03-29,0,1_1_,1_1_2013-03-29,
1_1_2013-04-05,0,1_1_,1_1_2013-04-05,
1_1_2013-04-12,0,1_1_,1_1_2013-04-12,
1_1_2013-04-19,0,1_1_,1_1_2013-04-19,
1_1_2013-04-26,0,1_1_,1_1_2013-04-26,
1_1_2013-05-03,0,1_1_,1_1_2013-05-03,
1_1_2013-05-10,0,1_1_,1_1_2013-05-10,
1_1_2013-05-17,0,1_1_,1_1_2013-05-17,
1_1_2013-05-24,0,1_1_,1_1_2013-05-24,
1_1_2013-05-31,0,1_1_,1_1_2013-05-31,
1_1_2013-06-07,0,1_1_,1_1_2013-06-07,
1_1_2013-06-14,0,1_1_,1_1_2013-06-14,
1_1_2013-06-21,0,1_1_,1_1_2013-06-21,
1_1_2013-06-28,0,1_1_,1_1_2013-06-28,
1_1_2013-07-05,0,1_1_,1_1_2013-07-05,
1_1_2013-07-12,0,1_1_,1_1_2013-07-12,
1_1_2013-07-19,0,1_1_,1_1_2013-07-19,
1_1_2013-07-26,0,1_1_,1_1_2013-07-26,
1_2_2012-11-02,0,1_2_,,
1_2_2012-11-09,0,1_2_,,
1_2_2012-11-16,0,1_2_,,
1_2_2012-11-23,0,1_2_,,
1_2_2012-11-30,0,1_2_,,
1_2_2012-12-07,0,1_2_,,
1_2_2012-12-14,0,1_2_,,
1_2_2012-12-21,0,1_2_,,
1_2_2012-12-28,0,1_2_,,
1_2_2013-01-04,0,1_2_,,
1_2_2013-01-11,0,1_2_,,
1_2_2013-01-18,0,1_2_,,
1_2_2013-01-25,0,1_2_,,
1_2_2013-02-01,0,1_2_,,
1_2_2013-02-08,0,1_2_,,
1_2_2013-02-15,0,1_2_,,
1_2_2013-02-22,0,1_2_,,
1_2_2013-03-01,0,1_2_,,
1_2_2013-03-08,0,1_2_,,
1_2_2013-03-15,0,1_2_,,
1_2_2013-03-22,0,1_2_,,
1_2_2013-03-29,0,1_2_,,
1_2_2013-04-05,0,1_2_,,
1_2_2013-04-12,0,1_2_,,
1_2_2013-04-19,0,1_2_,,
1_2_2013-04-26,0,1_2_,,
1_2_2013-05-03,0,1_2_,,
1_2_2013-05-10,0,1_2_,,
1_2_2013-05-17,0,1_2_,,
1_2_2013-05-24,0,1_2_,,
1_2_2013-05-31,0,1_2_,,
1_2_2013-06-07,0,1_2_,,
1_2_2013-06-14,0,1_2_,,
1_2_2013-06-21,0,1_2_,,
1_2_2013-06-28,0,1_2_,,
1_2_2013-07-05,0,1_2_,,
1_2_2013-07-12,0,1_2_,,
1_2_2013-07-19,0,1_2_,,
1_2_2013-07-26,0,1_2_,,
1_3_2012-11-02,0,1_3_,,
1_3_2012-11-09,0,1_3_,,
1_3_2012-11-16,0,1_3_,,
1_3_2012-11-23,0,1_3_,,
1_3_2012-11-30,0,1_3_,,
1_3_2012-12-07,0,1_3_,,
1_3_2012-12-14,0,1_3_,,
1_3_2012-12-21,0,1_3_,,
1_3_2012-12-28,0,1_3_,,
1_3_2013-01-04,0,1_3_,,
1_3_2013-01-11,0,1_3_,,
1_3_2013-01-18,0,1_3_,,
1_3_2013-01-25,0,1_3_,,
1_3_2013-02-01,0,1_3_,,
1_3_2013-02-08,0,1_3_,,
1_3_2013-02-15,0,1_3_,,
1_3_2013-02-22,0,1_3_,,
1_3_2013-03-01,0,1_3_,,
1_3_2013-03-08,0,1_3_,,
1_3_2013-03-15,0,1_3_,,
1_3_2013-03-22,0,1_3_,,
1_3_2013-03-29,0,1_3_,,
1_3_2013-04-05,0,1_3_,,
1_3_2013-04-12,0,1_3_,,
1_3_2013-04-19,0,1_3_,,
1_3_2013-04-26,0,1_3_,,
1_3_2013-05-03,0,1_3_,,
1_3_2013-05-10,0,1_3_,,
1_3_2013-05-17,0,1_3_,,
1_3_2013-05-24,0,1_3_,,
1_3_2013-05-31,0,1_3_,,
1_3_2013-06-07,0,1_3_,,
1_3_2013-06-14,0,1_3_,,
1_3_2013-06-21,0,1_3_,,
1_3_2013-06-28,0,1_3_,,
1_3_2013-07-05,0,1_3_,,
1_3_2013-07-12,0,1_3_,,
1_3_2013-07-19,0,1_3_,,
1_3_2013-07-26,0,1_3_,,
1_4_2012-11-02,0,1_4_,,
1_4_2012-11-09,0,1_4_,,
1_4_2012-11-16,0,1_4_,,
1_4_2012-11-23,0,1_4_,,
1_4_2012-11-30,0,1_4_,,
1_4_2012-12-07,0,1_4_,,
1_4_2012-12-14,0,1_4_,,
1_4_2012-12-21,0,1_4_,,
1_4_2012-12-28,0,1_4_,,
1_4_2013-01-04,0,1_4_,,
1_4_2013-01-11,0,1_4_,,
1_4_2013-01-18,0,1_4_,,
1_4_2013-01-25,0,1_4_,,
1_4_2013-02-01,0,1_4_,,
1_4_2013-02-08,0,1_4_,,
1_4_2013-02-15,0,1_4_,,
1_4_2013-02-22,0,1_4_,,
1_4_2013-03-01,0,1_4_,,
1_4_2013-03-08,0,1_4_,,
1_4_2013-03-15,0,1_4_,,
1_4_2013-03-22,0,1_4_,,
1_4_2013-03-29,0,1_4_,,
1_4_2013-04-05,0,1_4_,,
1_4_2013-04-12,0,1_4_,,
1_4_2013-04-19,0,1_4_,,
1_4_2013-04-26,0,1_4_,,
1_4_2013-05-03,0,1_4_,,
1_4_2013-05-10,0,1_4_,,
1_4_2013-05-17,0,1_4_,,
1_4_2013-05-24,0,1_4_,,
1_4_2013-05-31,0,1_4_,,
1_4_2013-06-07,0,1_4_,,
1_4_2013-06-14,0,1_4_,,
1_4_2013-06-21,0,1_4_,,
1_4_2013-06-28,0,1_4_,,
1_4_2013-07-05,0,1_4_,,
1_4_2013-07-12,0,1_4_,,
1_4_2013-07-19,0,1_4_,,
1_4_2013-07-26,0,1_4_,,
1_5_2012-11-02,0,1_5_,,
1_5_2012-11-09,0,1_5_,,
1_5_2012-11-16,0,1_5_,,
1_5_2012-11-23,0,1_5_,,
1_5_2012-11-30,0,1_5_,,
1_5_2012-12-07,0,1_5_,,
1_5_2012-12-14,0,1_5_,,
1_5_2012-12-21,0,1_5_,,
1_5_2012-12-28,0,1_5_,,
1_5_2013-01-04,0,1_5_,,
1_5_2013-01-11,0,1_5_,,
1_5_2013-01-18,0,1_5_,,
1_5_2013-01-25,0,1_5_,,
1_5_2013-02-01,0,1_5_,,
1_5_2013-02-08,0,1_5_,,
1_5_2013-02-15,0,1_5_,,
1_5_2013-02-22,0,1_5_,,
1_5_2013-03-01,0,1_5_,,
1_5_2013-03-08,0,1_5_,,
1_5_2013-03-15,0,1_5_,,
